Date : 2024-11-13 09:57:01
Directory : /Users/vivek/project/my-project
Total : 120 files,  12506 codes, 1501 comments, 1024 blanks, all 15031 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |      8,582 |          0 |          3 |      8,585 |
| PHP        |        104 |      3,325 |      1,446 |        873 |      5,644 |
| CSS        |          4 |        355 |         21 |         64 |        440 |
| Markdown   |          1 |        124 |          0 |         50 |        174 |
| JavaScript |          5 |         84 |         27 |         28 |        139 |
| XML        |          1 |         29 |          2 |          1 |         32 |
| SCSS       |          2 |          7 |          5 |          5 |         17 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        120 |     12,506 |      1,501 |      1,024 |     15,031 |
| . (Files)                                                                                                     |          6 |      8,748 |          2 |         56 |      8,806 |
| app                                                                                                           |         36 |        797 |        372 |        268 |      1,437 |
| app/Console                                                                                                   |          1 |         15 |          7 |          6 |         28 |
| app/Exceptions                                                                                                |          1 |         17 |          9 |          5 |         31 |
| app/Http                                                                                                      |         26 |        642 |        296 |        213 |      1,151 |
| app/Http (Files)                                                                                              |          1 |         41 |         20 |          8 |         69 |
| app/Http/Controllers                                                                                          |         15 |        485 |        211 |        161 |        857 |
| app/Http/Controllers (Files)                                                                                  |          4 |        120 |         19 |         34 |        173 |
| app/Http/Controllers/Admin                                                                                    |          5 |        270 |         75 |         86 |        431 |
| app/Http/Controllers/Auth                                                                                     |          6 |         95 |        117 |         41 |        253 |
| app/Http/Middleware                                                                                           |          9 |        100 |         57 |         39 |        196 |
| app/Http/Requests                                                                                             |          1 |         16 |          8 |          5 |         29 |
| app/Models                                                                                                    |          3 |         41 |         16 |         15 |         72 |
| app/Providers                                                                                                 |          5 |         82 |         44 |         29 |        155 |
| bootstrap                                                                                                     |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                        |         18 |        583 |        876 |        304 |      1,763 |
| database                                                                                                      |         12 |        346 |         83 |         76 |        505 |
| database/factories                                                                                            |          1 |         23 |         11 |          5 |         39 |
| database/migrations                                                                                           |          8 |        258 |         56 |         52 |        366 |
| database/seeders                                                                                              |          3 |         65 |         16 |         19 |        100 |
| public                                                                                                        |          4 |        428 |         54 |         91 |        573 |
| public (Files)                                                                                                |          1 |         14 |         30 |         12 |         56 |
| public/css                                                                                                    |          2 |        354 |         19 |         63 |        436 |
| public/js                                                                                                     |          1 |         60 |          5 |         16 |         81 |
| resources                                                                                                     |         31 |      1,432 |         27 |        167 |      1,626 |
| resources/css                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| resources/js                                                                                                  |          2 |          5 |         22 |          9 |         36 |
| resources/sass                                                                                                |          2 |          7 |          5 |          5 |         17 |
| resources/views                                                                                               |         26 |      1,420 |          0 |        152 |      1,572 |
| resources/views (Files)                                                                                       |          2 |         21 |          0 |          5 |         26 |
| resources/views/admin                                                                                         |         16 |        906 |          0 |         62 |        968 |
| resources/views/admin (Files)                                                                                 |          1 |        159 |          0 |          3 |        162 |
| resources/views/admin/includes                                                                                |          5 |        177 |          0 |         10 |        187 |
| resources/views/admin/permissions                                                                             |          3 |        133 |          0 |         12 |        145 |
| resources/views/admin/profile                                                                                 |          2 |         74 |          0 |          8 |         82 |
| resources/views/admin/roles                                                                                   |          3 |        224 |          0 |         24 |        248 |
| resources/views/admin/users                                                                                   |          2 |        139 |          0 |          5 |        144 |
| resources/views/auth                                                                                          |          6 |        283 |          0 |         62 |        345 |
| resources/views/auth (Files)                                                                                  |          3 |        149 |          0 |         32 |        181 |
| resources/views/auth/passwords                                                                                |          3 |        134 |          0 |         30 |        164 |
| resources/views/layouts                                                                                       |          2 |        210 |          0 |         23 |        233 |
| routes                                                                                                        |          6 |        107 |         45 |         33 |        185 |
| tests                                                                                                         |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                                 |          2 |         20 |          3 |         10 |         33 |
| tests/Feature                                                                                                 |          1 |         11 |          4 |          5 |         20 |
| tests/Unit                                                                                                    |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie                                                                                                 |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition/resources                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition/resources/compiled                                                                     |          2 |          7 |          2 |          1 |         10 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/vivek/project/my-project/README.md                                                                     | Markdown   |        124 |          0 |         50 |        174 |
| /Users/vivek/project/my-project/app/Console/Kernel.php                                                        | PHP        |         15 |          7 |          6 |         28 |
| /Users/vivek/project/my-project/app/Exceptions/Handler.php                                                    | PHP        |         17 |          9 |          5 |         31 |
